,price,area,bedrooms,latitude,longitude
52,79.0,238,44.0,10.7508081,106.6757438
53,86.0,246,5.0,21.0308599,105.8166626
54,82.0,246,44.0,21.0183256,105.8160795
55,91.0,266,44.0,21.0267835,105.8178095
56,34.0,111,21.0,10.7508081,106.6757438
57,29.0,102,21.0,21.0257605,105.8130654
58,44.0,122,21.0,21.0183256,105.8160795
59,47.0,136,22.0,21.0308599,105.8166626
60,220.0,282,5.0,21.0422751,105.848001
61,330.0,486,11.0,21.0443736,105.8128943
62,190.0,268,9.0,21.0359363,105.81262
63,225.0,468,10.0,21.0308599,105.8166626
64,250.0,380,9.0,21.0466514,105.8413703
65,190.0,288,10.0,15.9932234,108.2058619
66,165.0,239,8.0,21.033437,105.8137813
67,150.0,233,14.0,21.0382278,105.8104991
68,190.0,280,10.0,21.0267835,105.8178095
69,118.0,236,10.0,21.0257605,105.8130654
70,115.0,192,18.0,21.043082,105.8401641
71,130.0,210,9.0,21.0460215,105.8410062
72,195.0,295,25.0,21.0272991,105.8150091
73,190.0,300,10.0,19.8279264,105.7779134
74,210.0,279,13.0,21.044622,105.8444895
75,190.0,310,10.0,21.0458507,105.8409379
76,250.0,368,11.0,21.0293108,105.8400223
77,163.0,222,9.0,10.8119203,106.6861257
78,185.0,255,5.0,21.0430021,105.8438878
79,205.0,296,9.0,21.0332658,105.8112743
80,197.0,307,20.0,21.0282997,105.8104201
81,166.0,259,9.0,21.0294939,105.8232176
82,185.0,279,12.0,10.8440955,106.7746845
83,198.0,315,22.0,21.0414147,105.8456775
84,195.0,336,10.0,21.141215,105.5045518
85,185.0,269,9.0,21.0403773,105.8463581
86,175.0,286,11.0,21.0293758,105.8208969
87,168.0,283,1.0,21.0338223,105.8436318
88,182.0,265,11.0,21.0460315,105.840049
89,152.0,226,12.0,21.0321002,105.8337335
90,235.0,288,9.0,21.0338877,105.8171576
91,195.0,280,10.0,21.0482127,105.8409282
92,225.0,307,11.0,21.0428792,105.8083381
